AK4137,,,
,,,
Pin,Name,Type,Side
1,DSDIL/DEM0,in,Bottom
2,DSDIR/DEM1,in,Bottom
3,IDCLK,in,Bottom
4,ILRCK,in,Bottom
5,IBICK,in,Bottom
6,SDTI,in,Bottom
7,CAD0/IDIF0,in,Bottom
8,CAD1/IDIF1,in,Bottom
9,IDIF2,in,Bottom
10,SRCEN,out,Bottom
11,TEST0,in,Bottom
12,TEST1,in,Bottom
24,MCKO,out,Right
23,SMSEMI,in,Right
22,DITHER,in,Right
21,ODIF0,in,Right
20,ODIF1,in,Right
19,CSN/SMUTE,in,Right
18,SCL/CCLK/SD,in,Right
17,SDA/CDTI/SLOW,io,Right
16,CDTO,out,Right
15,PSN,in,Right
14,PDN,in,Right
13,I2C,in,Right
36,DVDD,pwr,Top
35,DVDD,pwr,Top
34,DVSS,pwr,Top
33,XTI/OMCLK/TDMI,in,Top
32,CLKMODE,in,Top
31,XTO,out,Top
30,TDM,in,Top
29,OLRCK/DSDOR,io,Top
28,OBICK/ODCLK,io,Top
27,SDTO/DSDOL,out,Top
26,SMT0,in,Top
25,SMT1,in,Top
37,OBIT0,in,Left
38,OBIT1,in,Left
39,CM0,in,Left
40,CM1,in,Left
41,CM2,in,Left
42,CM3,in,Left
43,VSEL,in,Left
44,DV18,io,Left
45,DVSS,pwr,Left
46,DVDD,pwr,Left
47,NC,passive,Left
48,NC,passive,Left
