AK4118,,,
,,,
Pin,Name,Type,Side
1,IPS0/RX4,in,bottom
2,NC,in,bottom
3,DIF0/RX5,in,bottom
4,TEST2,in,bottom
5,DIF1/RX6,in,bottom
6,VSS1,pwr,bottom
7,DIF2/RX7,in,bottom
8,IPS1/IIC,in,bottom
9,PSN,in,bottom
10,XTL0,in,bottom
11,XTL1,in,bottom
12,VIN/GP0,io,bottom
24,LRCK,io,right
23,MCK01,out,right
22,VSS2,gnd,right
21,DVDD,pwr,right
20,VOUT/GP7,io,right
19,UOUT/GP6,io,right
18,COUT/GP5,io,right
17,BOUT/GP4,io,right
16,TX1/GP3,io,right
15,TX0/GP2,io,right
14,GP1,io,right
13,TVDD,pwr,right
36,INT0,out,top
35,OCKS0/CSN/CAD0,in,top
34,OCKS1/CCLK/SCL,in,top
33,CM1/CDTI/SDA,io,top
32,CM0/CDTO/CAD1,io,top
31,PDN,in,top
30,XTI,in,top
29,XTO,out,top
28,DAUX,in,top
27,MCKO2,out,top
26,BICK,io,top
25,SDTO,out,top
37,INT1,out,left
38,AVDD,pwr,left
39,R,passive,left
40,VCOM,passive,left
41,VSS3,pwr,left
42,RX0,in,left
43,NC,in,left
44,RX1,in,left
45,TEST1,in,left
46,RX2,in,left
47,VSS4,pwr,left
48,RX3,in,left
